s; real(z.tm); imag(z.tm); abs(z.tm); angle(z.tm); real(z.te); imag(z.te); abs(z.te); angle(z.te); 
0.000000e+00; 0.000000e+00; -9.228393e-01; 9.228393e-01; -1.570796e+00; 0.000000e+00; -9.228393e-01; 9.228393e-01; -1.570796e+00; 
1.000000e-02; 0.000000e+00; -9.228076e-01; 9.228076e-01; -1.570796e+00; 0.000000e+00; -9.228230e-01; 9.228230e-01; -1.570796e+00; 
2.000000e-02; 0.000000e+00; -9.227126e-01; 9.227126e-01; -1.570796e+00; 0.000000e+00; -9.227741e-01; 9.227741e-01; -1.570796e+00; 
3.000000e-02; 0.000000e+00; -9.225542e-01; 9.225542e-01; -1.570796e+00; 0.000000e+00; -9.226926e-01; 9.226926e-01; -1.570796e+00; 
4.000000e-02; 0.000000e+00; -9.223325e-01; 9.223325e-01; -1.570796e+00; 0.000000e+00; -9.225786e-01; 9.225786e-01; -1.570796e+00; 
5.000000e-02; 0.000000e+00; -9.220476e-01; 9.220476e-01; -1.570796e+00; 0.000000e+00; -9.224319e-01; 9.224319e-01; -1.570796e+00; 
6.000000e-02; 0.000000e+00; -9.216995e-01; 9.216995e-01; -1.570796e+00; 0.000000e+00; -9.222528e-01; 9.222528e-01; -1.570796e+00; 
7.000000e-02; 0.000000e+00; -9.212882e-01; 9.212882e-01; -1.570796e+00; 0.000000e+00; -9.220412e-01; 9.220412e-01; -1.570796e+00; 
8.000000e-02; 0.000000e+00; -9.208140e-01; 9.208140e-01; -1.570796e+00; 0.000000e+00; -9.217972e-01; 9.217972e-01; -1.570796e+00; 
9.000000e-02; 0.000000e+00; -9.202768e-01; 9.202768e-01; -1.570796e+00; 0.000000e+00; -9.215209e-01; 9.215209e-01; -1.570796e+00; 
1.000000e-01; 0.000000e+00; -9.196769e-01; 9.196769e-01; -1.570796e+00; 0.000000e+00; -9.212122e-01; 9.212122e-01; -1.570796e+00; 
1.100000e-01; 0.000000e+00; -9.190142e-01; 9.190142e-01; -1.570796e+00; 0.000000e+00; -9.208713e-01; 9.208713e-01; -1.570796e+00; 
