s; real(z.tm); imag(z.tm); abs(z.tm); angle(z.tm); real(z.te); imag(z.te); abs(z.te); angle(z.te); 
0.000000e+00; -1.276756e-15; -8.613935e-01; 8.613935e-01; -1.570796e+00; -1.665335e-16; -9.915759e-01; 9.915759e-01; -1.570796e+00; 
1.000000e-02; -2.198242e-14; -8.613623e-01; 8.613623e-01; -1.570796e+00; -2.109424e-15; -9.915563e-01; 9.915563e-01; -1.570796e+00; 
2.000000e-02; -4.116152e-14; -8.612688e-01; 8.612688e-01; -1.570796e+00; -3.996803e-15; -9.914976e-01; 9.914976e-01; -1.570796e+00; 
3.000000e-02; -3.044787e-14; -8.611130e-01; 8.611130e-01; -1.570796e+00; -4.718448e-15; -9.913998e-01; 9.913998e-01; -1.570796e+00; 
4.000000e-02; 5.103556e-14; -8.608949e-01; 8.608949e-01; -1.570796e+00; -1.443290e-15; -9.912628e-01; 9.912628e-01; -1.570796e+00; 
5.000000e-02; -4.752795e-14; -8.606145e-01; 8.606145e-01; -1.570796e+00; -1.387779e-15; -9.910867e-01; 9.910867e-01; -1.570796e+00; 
6.000000e-02; 2.273182e-14; -8.602720e-01; 8.602720e-01; -1.570796e+00; -6.106227e-16; -9.908716e-01; 9.908716e-01; -1.570796e+00; 
7.000000e-02; 3.441691e-15; -8.598674e-01; 8.598674e-01; -1.570796e+00; 3.608225e-15; -9.906176e-01; 9.906176e-01; -1.570796e+00; 
8.000000e-02; -1.892930e-14; -8.594008e-01; 8.594008e-01; -1.570796e+00; 1.254552e-14; -9.903246e-01; 9.903246e-01; -1.570796e+00; 
9.000000e-02; -1.554312e-14; -8.588723e-01; 8.588723e-01; -1.570796e+00; -9.825474e-15; -9.899928e-01; 9.899928e-01; -1.570796e+00; 
1.000000e-01; 2.881029e-14; -8.582820e-01; 8.582820e-01; -1.570796e+00; 3.758105e-14; -9.896223e-01; 9.896223e-01; -1.570796e+00; 
1.100000e-01; -4.785061e-14; -8.576302e-01; 8.576302e-01; -1.570796e+00; -3.935741e-14; -9.892131e-01; 9.892131e-01; -1.570796e+00; 
1.200000e-01; 1.332268e-14; -8.569168e-01; 8.569168e-01; -1.570796e+00; 2.187139e-14; -9.887654e-01; 9.887654e-01; -1.570796e+00; 
1.300000e-01; 1.210143e-14; -8.561421e-01; 8.561421e-01; -1.570796e+00; 2.331468e-15; -9.882792e-01; 9.882792e-01; -1.570796e+00; 
1.400000e-01; 1.132427e-14; -8.553063e-01; 8.553063e-01; -1.570796e+00; 4.962697e-14; -9.877547e-01; 9.877547e-01; -1.570796e+00; 
1.500000e-01; -1.376677e-14; -8.544095e-01; 8.544095e-01; -1.570796e+00; -4.518608e-14; -9.871921e-01; 9.871921e-01; -1.570796e+00; 
1.600000e-01; -3.386180e-15; -8.534520e-01; 8.534520e-01; -1.570796e+00; -6.106227e-15; -9.865914e-01; 9.865914e-01; -1.570796e+00; 
