s; real(z.tm); imag(z.tm); abs(z.tm); angle(z.tm); real(z.te); imag(z.te); abs(z.te); angle(z.te); 
0.000000e+00; 0.000000e+00; 3.632713e-01; 3.632713e-01; 1.570796e+00; 0.000000e+00; 3.632713e-01; 3.632713e-01; 1.570796e+00; 
1.000000e-02; 0.000000e+00; 3.632607e-01; 3.632607e-01; 1.570796e+00; 0.000000e+00; 3.632698e-01; 3.632698e-01; 1.570796e+00; 
2.000000e-02; 0.000000e+00; 3.632291e-01; 3.632291e-01; 1.570796e+00; 0.000000e+00; 3.632654e-01; 3.632654e-01; 1.570796e+00; 
3.000000e-02; 0.000000e+00; 3.631764e-01; 3.631764e-01; 1.570796e+00; 0.000000e+00; 3.632581e-01; 3.632581e-01; 1.570796e+00; 
4.000000e-02; 0.000000e+00; 3.631026e-01; 3.631026e-01; 1.570796e+00; 0.000000e+00; 3.632479e-01; 3.632479e-01; 1.570796e+00; 
5.000000e-02; 0.000000e+00; 3.630078e-01; 3.630078e-01; 1.570796e+00; 0.000000e+00; 3.632348e-01; 3.632348e-01; 1.570796e+00; 
6.000000e-02; 0.000000e+00; 3.628919e-01; 3.628919e-01; 1.570796e+00; 0.000000e+00; 3.632187e-01; 3.632187e-01; 1.570796e+00; 
7.000000e-02; 0.000000e+00; 3.627549e-01; 3.627549e-01; 1.570796e+00; 0.000000e+00; 3.631998e-01; 3.631998e-01; 1.570796e+00; 
8.000000e-02; 0.000000e+00; 3.625968e-01; 3.625968e-01; 1.570796e+00; 0.000000e+00; 3.631779e-01; 3.631779e-01; 1.570796e+00; 
9.000000e-02; 0.000000e+00; 3.624177e-01; 3.624177e-01; 1.570796e+00; 0.000000e+00; 3.631531e-01; 3.631531e-01; 1.570796e+00; 
1.000000e-01; 0.000000e+00; 3.622176e-01; 3.622176e-01; 1.570796e+00; 0.000000e+00; 3.631254e-01; 3.631254e-01; 1.570796e+00; 
1.100000e-01; 0.000000e+00; 3.619965e-01; 3.619965e-01; 1.570796e+00; 0.000000e+00; 3.630948e-01; 3.630948e-01; 1.570796e+00; 
1.200000e-01; 0.000000e+00; 3.617543e-01; 3.617543e-01; 1.570796e+00; 0.000000e+00; 3.630613e-01; 3.630613e-01; 1.570796e+00; 
1.300000e-01; 0.000000e+00; 3.614911e-01; 3.614911e-01; 1.570796e+00; 0.000000e+00; 3.630249e-01; 3.630249e-01; 1.570796e+00; 
1.400000e-01; 0.000000e+00; 3.612069e-01; 3.612069e-01; 1.570796e+00; 0.000000e+00; 3.629856e-01; 3.629856e-01; 1.570796e+00; 
1.500000e-01; 0.000000e+00; 3.609018e-01; 3.609018e-01; 1.570796e+00; 0.000000e+00; 3.629433e-01; 3.629433e-01; 1.570796e+00; 
1.600000e-01; 0.000000e+00; 3.605757e-01; 3.605757e-01; 1.570796e+00; 0.000000e+00; 3.628982e-01; 3.628982e-01; 1.570796e+00; 
1.700000e-01; 0.000000e+00; 3.602286e-01; 3.602286e-01; 1.570796e+00; 0.000000e+00; 3.628502e-01; 3.628502e-01; 1.570796e+00; 
1.800000e-01; 0.000000e+00; 3.598606e-01; 3.598606e-01; 1.570796e+00; 0.000000e+00; 3.627993e-01; 3.627993e-01; 1.570796e+00; 
1.900000e-01; 0.000000e+00; 3.594717e-01; 3.594717e-01; 1.570796e+00; 0.000000e+00; 3.627455e-01; 3.627455e-01; 1.570796e+00; 
2.000000e-01; 0.000000e+00; 3.590619e-01; 3.590619e-01; 1.570796e+00; 0.000000e+00; 3.626888e-01; 3.626888e-01; 1.570796e+00; 
2.100000e-01; 0.000000e+00; 3.586312e-01; 3.586312e-01; 1.570796e+00; 0.000000e+00; 3.626292e-01; 3.626292e-01; 1.570796e+00; 
2.200000e-01; 0.000000e+00; 3.581797e-01; 3.581797e-01; 1.570796e+00; 0.000000e+00; 3.625667e-01; 3.625667e-01; 1.570796e+00; 
2.300000e-01; 0.000000e+00; 3.577073e-01; 3.577073e-01; 1.570796e+00; 0.000000e+00; 3.625014e-01; 3.625014e-01; 1.570796e+00; 
2.400000e-01; 0.000000e+00; 3.572141e-01; 3.572141e-01; 1.570796e+00; 0.000000e+00; 3.624331e-01; 3.624331e-01; 1.570796e+00; 
2.500000e-01; 0.000000e+00; 3.567002e-01; 3.567002e-01; 1.570796e+00; 0.000000e+00; 3.623621e-01; 3.623621e-01; 1.570796e+00; 
2.600000e-01; 0.000000e+00; 3.561654e-01; 3.561654e-01; 1.570796e+00; 0.000000e+00; 3.622881e-01; 3.622881e-01; 1.570796e+00; 
2.700000e-01; 0.000000e+00; 3.556100e-01; 3.556100e-01; 1.570796e+00; 0.000000e+00; 3.622113e-01; 3.622113e-01; 1.570796e+00; 
2.800000e-01; 0.000000e+00; 3.550338e-01; 3.550338e-01; 1.570796e+00; 0.000000e+00; 3.621316e-01; 3.621316e-01; 1.570796e+00; 
2.900000e-01; 0.000000e+00; 3.544370e-01; 3.544370e-01; 1.570796e+00; 0.000000e+00; 3.620491e-01; 3.620491e-01; 1.570796e+00; 
3.000000e-01; 0.000000e+00; 3.538195e-01; 3.538195e-01; 1.570796e+00; 0.000000e+00; 3.619637e-01; 3.619637e-01; 1.570796e+00; 
3.100000e-01; 0.000000e+00; 3.531814e-01; 3.531814e-01; 1.570796e+00; 0.000000e+00; 3.618755e-01; 3.618755e-01; 1.570796e+00; 
3.200000e-01; 0.000000e+00; 3.525227e-01; 3.525227e-01; 1.570796e+00; 0.000000e+00; 3.617844e-01; 3.617844e-01; 1.570796e+00; 
3.300000e-01; 0.000000e+00; 3.518435e-01; 3.518435e-01; 1.570796e+00; 0.000000e+00; 3.616905e-01; 3.616905e-01; 1.570796e+00; 
3.400000e-01; 0.000000e+00; 3.511437e-01; 3.511437e-01; 1.570796e+00; 0.000000e+00; 3.615938e-01; 3.615938e-01; 1.570796e+00; 
3.500000e-01; 0.000000e+00; 3.504235e-01; 3.504235e-01; 1.570796e+00; 0.000000e+00; 3.614942e-01; 3.614942e-01; 1.570796e+00; 
3.600000e-01; 0.000000e+00; 3.496828e-01; 3.496828e-01; 1.570796e+00; 0.000000e+00; 3.613919e-01; 3.613919e-01; 1.570796e+00; 
3.700000e-01; 0.000000e+00; 3.489216e-01; 3.489216e-01; 1.570796e+00; 0.000000e+00; 3.612867e-01; 3.612867e-01; 1.570796e+00; 
