s; real(z.tm); imag(z.tm); abs(z.tm); angle(z.tm); real(z.te); imag(z.te); abs(z.te); angle(z.te); 
0.000000e+00; 0.000000e+00; -9.228393e-01; 9.228393e-01; -1.570796e+00; 0.000000e+00; -9.228393e-01; 9.228393e-01; -1.570796e+00; 
1.000000e-01; 0.000000e+00; -9.196769e-01; 9.196769e-01; -1.570796e+00; 0.000000e+00; -9.212122e-01; 9.212122e-01; -1.570796e+00; 
2.000000e-01; 0.000000e+00; -9.102596e-01; 9.102596e-01; -1.570796e+00; 0.000000e+00; -9.163687e-01; 9.163687e-01; -1.570796e+00; 
3.000000e-01; 0.000000e+00; -8.947936e-01; 8.947936e-01; -1.570796e+00; 0.000000e+00; -9.084199e-01; 9.084199e-01; -1.570796e+00; 
4.000000e-01; 0.000000e+00; -8.736095e-01; 8.736095e-01; -1.570796e+00; 0.000000e+00; -8.975440e-01; 8.975440e-01; -1.570796e+00; 
5.000000e-01; 0.000000e+00; -8.471444e-01; 8.471444e-01; -1.570796e+00; 0.000000e+00; -8.839767e-01; 8.839767e-01; -1.570796e+00; 
6.000000e-01; 0.000000e+00; -8.159186e-01; 8.159186e-01; -1.570796e+00; 0.000000e+00; -8.679985e-01; 8.679985e-01; -1.570796e+00; 
7.000000e-01; 0.000000e+00; -7.805110e-01; 7.805110e-01; -1.570796e+00; 0.000000e+00; -8.499213e-01; 8.499213e-01; -1.570796e+00; 
8.000000e-01; 0.000000e+00; -7.415333e-01; 7.415333e-01; -1.570796e+00; 0.000000e+00; -8.300746e-01; 8.300746e-01; -1.570796e+00; 
9.000000e-01; 0.000000e+00; -6.996055e-01; 6.996055e-01; -1.570796e+00; 0.000000e+00; -8.087925e-01; 8.087925e-01; -1.570796e+00; 
1.000000e+00; 0.000000e+00; -6.553349e-01; 6.553349e-01; -1.570796e+00; 0.000000e+00; -7.864019e-01; 7.864019e-01; -1.570796e+00; 
1.100000e+00; 0.000000e+00; -6.092988e-01; 6.092988e-01; -1.570796e+00; 0.000000e+00; -7.632136e-01; 7.632136e-01; -1.570796e+00; 
1.200000e+00; 0.000000e+00; -5.620310e-01; 5.620310e-01; -1.570796e+00; 0.000000e+00; -7.395145e-01; 7.395145e-01; -1.570796e+00; 
1.300000e+00; 0.000000e+00; -5.140132e-01; 5.140132e-01; -1.570796e+00; 0.000000e+00; -7.155637e-01; 7.155637e-01; -1.570796e+00; 
1.400000e+00; 0.000000e+00; -4.656698e-01; 4.656698e-01; -1.570796e+00; 0.000000e+00; -6.915888e-01; 6.915888e-01; -1.570796e+00; 
1.500000e+00; 0.000000e+00; -4.173662e-01; 4.173662e-01; -1.570796e+00; 0.000000e+00; -6.677859e-01; 6.677859e-01; -1.570796e+00; 
