s; real(z.tm); imag(z.tm); abs(z.tm); angle(z.tm); real(z.te); imag(z.te); abs(z.te); angle(z.te); 
0.000000e+00; -0.000000e+00; -2.602029e+00; 2.602029e+00; -1.570796e+00; -0.000000e+00; -2.602029e+00; 2.602029e+00; -1.570796e+00; 
1.000000e-02; -0.000000e+00; -2.602306e+00; 2.602306e+00; -1.570796e+00; -0.000000e+00; -2.602371e+00; 2.602371e+00; -1.570796e+00; 
2.000000e-02; -0.000000e+00; -2.603136e+00; 2.603136e+00; -1.570796e+00; -0.000000e+00; -2.603396e+00; 2.603396e+00; -1.570796e+00; 
3.000000e-02; -0.000000e+00; -2.604520e+00; 2.604520e+00; -1.570796e+00; -0.000000e+00; -2.605106e+00; 2.605106e+00; -1.570796e+00; 
4.000000e-02; -0.000000e+00; -2.606461e+00; 2.606461e+00; -1.570796e+00; -0.000000e+00; -2.607504e+00; 2.607504e+00; -1.570796e+00; 
5.000000e-02; -0.000000e+00; -2.608962e+00; 2.608962e+00; -1.570796e+00; -0.000000e+00; -2.610594e+00; 2.610594e+00; -1.570796e+00; 
6.000000e-02; -0.000000e+00; -2.612026e+00; 2.612026e+00; -1.570796e+00; -0.000000e+00; -2.614379e+00; 2.614379e+00; -1.570796e+00; 
7.000000e-02; -0.000000e+00; -2.615657e+00; 2.615657e+00; -1.570796e+00; -0.000000e+00; -2.618866e+00; 2.618866e+00; -1.570796e+00; 
8.000000e-02; -0.000000e+00; -2.619862e+00; 2.619862e+00; -1.570796e+00; -0.000000e+00; -2.624060e+00; 2.624060e+00; -1.570796e+00; 
9.000000e-02; -0.000000e+00; -2.624645e+00; 2.624645e+00; -1.570796e+00; -0.000000e+00; -2.629971e+00; 2.629971e+00; -1.570796e+00; 
1.000000e-01; -0.000000e+00; -2.630015e+00; 2.630015e+00; -1.570796e+00; -0.000000e+00; -2.636606e+00; 2.636606e+00; -1.570796e+00; 
1.100000e-01; -0.000000e+00; -2.635979e+00; 2.635979e+00; -1.570796e+00; -0.000000e+00; -2.643977e+00; 2.643977e+00; -1.570796e+00; 
1.200000e-01; -0.000000e+00; -2.642546e+00; 2.642546e+00; -1.570796e+00; -0.000000e+00; -2.652093e+00; 2.652093e+00; -1.570796e+00; 
1.300000e-01; -0.000000e+00; -2.649726e+00; 2.649726e+00; -1.570796e+00; -0.000000e+00; -2.660969e+00; 2.660969e+00; -1.570796e+00; 
1.400000e-01; -0.000000e+00; -2.657530e+00; 2.657530e+00; -1.570796e+00; -0.000000e+00; -2.670616e+00; 2.670616e+00; -1.570796e+00; 
